ppo, pdo, tpo, tdo
the girl saved the juice for the band .,the girl saved the band the juice .,a man sold a flower to a business .,a man sold a business a flower .
a cousin drew a camera for an army .,a cousin drew an army a camera .,the leader promised the beer to the husband .,the leader promised the husband the beer .
a reader sent a camera to an army .,a reader sent an army a camera .,the opponent saved the meal for the champion .,the opponent saved the champion the meal .
a buddy bought a meal for an employer .,a buddy bought an employer a meal .,the aunt sent the candy to the corporation .,the aunt sent the corporation the candy .
a princess caught a ball for a son .,a princess caught a son a ball .,the doctor sold the coffee to the corporation .,the doctor sold the corporation the coffee .
a professor left a book for a business .,a professor left a business a book .,the leader sold the coffee to the buddy .,the leader sold the buddy the coffee .
the daughter drew the machine for the corporation .,the daughter drew the corporation the machine .,a princess supplied a salad to a priest .,a princess supplied a priest a salad .
an opponent sold a chicken to a business .,an opponent sold a business a chicken .,the sheriff drew the crystal for the guy .,the sheriff drew the guy the crystal .
an uncle threw a salad to a soldier .,an uncle threw a soldier a salad .,the buddy got the beer for the champion .,the buddy got the champion the beer .
a reader purchased a bell for a club .,a reader purchased a club a bell .,the brother promised the tea to the opponent .,the brother promised the opponent the tea .
a prince made a card for a club .,a prince made a club a card .,the mayor threw the cigarette to the actress .,the mayor threw the actress the cigarette .
the doctor delivered the motor for the captain .,the doctor delivered the captain the motor .,a parent supplied a bowl to a corporation .,a parent supplied a corporation a bowl .
the actor kept the candy for the club .,the actor kept the club the candy .,a teacher fed a salad to a bishop .,a teacher fed a bishop a salad .
the singer threw the coffee to the worker .,the singer threw the worker the coffee .,a father bought a juice for a sheriff .,a father bought a sheriff a juice .
the adult bought the knife for the lawyer .,the adult bought the lawyer the knife .,a winner threw a tea to an author .,a winner threw an author a tea .
the lawyer sold the ball to the army .,the lawyer sold the army the ball .,a president saved a bell for a club .,a president saved a club a bell .
a chief drew a computer for an army .,a chief drew an army a computer .,the winner sold the crystal to the daughter .,the winner sold the daughter the crystal .
a boy supplied a meal to an author .,a boy supplied an author a meal .,the nurse delivered the instrument for the daughter .,the nurse delivered the daughter the instrument .
a wife caught a wire for a prince .,a wife caught a prince a wire .,the friend showed the television to the administration .,the friend showed the administration the television .
a guest caught a bowl for a professor .,a guest caught a professor a bowl .,the aunt fed the pie to the woman .,the aunt fed the woman the pie .
a woman sold a beer to a nurse .,a woman sold a nurse a beer .,the son kept the tea for the winner .,the son kept the winner the tea .
a sheriff kept a chocolate for a company .,a sheriff kept a company a chocolate .,the professor brought the meal to the kid .,the professor brought the kid the meal .
a writer got a box for a company .,a writer got a company a box .,the adult showed the chocolate to the army .,the adult showed the army the chocolate .
a scientist caught a guitar for a minister .,a scientist caught a minister a guitar .,the attorney took the crystal to the man .,the attorney took the man the crystal .
a kid threw a beer to a father .,a kid threw a father a beer .,the teacher delivered the juice for the secretary .,the teacher delivered the secretary the juice .
the candidate sent the meal to the teacher .,the candidate sent the teacher the meal .,a corporation designed a key for a band .,a corporation designed a band a key .
a secretary caught a cigarette for an actress .,a secretary caught an actress a cigarette .,the professor gave the juice to the corporation .,the professor gave the corporation the juice .
an adult delivered a meal for a cop .,an adult delivered a cop a meal .,the winner sold the candy to the corporation .,the winner sold the corporation the candy .
an aunt took a cigarette to a president .,an aunt took a president a cigarette .,the son made the coat for the company .,the son made the company the coat .
a club designed a hat for a corporation .,a club designed a corporation a hat .,the prince promised the television to the actress .,the prince promised the actress the television .
a scientist bought a chicken for a brother .,a scientist bought a brother a chicken .,the lady showed the box to the secretary .,the lady showed the secretary the box .
a man kept a glass for a corporation .,a man kept a corporation a glass .,the teacher showed the candy to the parent .,the teacher showed the parent the candy .
an actress took a television to a lady .,an actress took a lady a television .,the daughter saved the coffee for the corporation .,the daughter saved the corporation the coffee .
